,Time,Weighted_Price,Total_Size,Order_Number
0,5.518,345.0,1.0,1.0
1,11.718,346.3333333333333,3.0,2.0
2,11.966,347.0,2.0,1.0
3,16.74,345.0,2.0,1.0
4,18.879,347.0,3.0,2.0
5,21.979,350.3333333333333,6.0,2.0
6,22.692,350.0,1.0,1.0
7,23.343,350.0,2.0,1.0
8,24.087,352.0,1.0,1.0
9,24.645,351.0,3.0,1.0
10,24.707,350.0,2.0,1.0
11,26.35,352.0,7.0,2.0
12,26.722,352.0,2.0,1.0
13,28.179,356.0,1.0,1.0
14,33.356,359.0,3.0,1.0
15,34.782,361.0,1.0,1.0
16,35.464,358.0,3.0,3.0
17,38.378,361.0,3.0,1.0
18,41.385,360.0,5.0,2.0
19,42.501,363.0,1.0,1.0
20,45.911,363.0,5.0,1.0
21,46.314,363.0,4.0,1.0
22,46.748,363.0,2.0,1.0
23,54.312,366.0,1.0,1.0
24,55.521,358.75,4.0,2.0
25,57.412,357.25,4.0,2.0
26,57.753,357.0,3.0,1.0
27,60.14,357.0,2.0,1.0
28,65.007,356.0,2.0,2.0
29,65.968,355.0,5.0,1.0
30,66.743,355.0,2.0,1.0
31,67.456,355.0,2.0,1.0
32,71.393,355.0,3.0,1.0
33,71.982,362.0,6.0,2.0
34,72.54,355.2,5.0,2.0
35,72.757,362.0,3.0,1.0
36,73.904,354.0,3.0,1.0
37,74.71,356.0,1.0,1.0
38,75.702,355.0,3.0,1.0
39,77.81,358.0,4.0,1.0
40,78.461,355.0,1.0,1.0
41,79.236,355.0,1.0,1.0
42,81.592,354.0,1.0,1.0
43,82.181,361.0,1.0,1.0
44,83.452,357.1666666666667,6.0,2.0
45,83.638,349.0,1.0,1.0
46,85.467,348.0,2.0,1.0
47,87.606,350.0,2.0,1.0
48,87.885,352.0,2.0,1.0
49,88.815,361.2,5.0,2.0
50,88.939,359.0,4.0,1.0
51,93.062,359.0,1.0,1.0
52,94.333,358.0,2.0,2.0
53,94.984,358.0,4.0,1.0
54,97.433,357.0,1.0,1.0
55,101.742,356.0,1.0,1.0
56,101.928,351.8,5.0,2.0
57,102.982,357.0,2.0,1.0
58,104.16,356.0,1.0,1.0
59,107.074,351.6666666666667,3.0,2.0
60,107.508,352.0,1.0,1.0
61,110.112,355.75,4.0,2.0
62,114.297,350.3333333333333,3.0,2.0
63,116.963,353.0,1.0,1.0
64,117.025,353.0,3.0,1.0
65,117.242,355.0,3.0,1.0
66,120.621,351.2857142857143,7.0,2.0
67,121.675,352.0,2.0,1.0
68,123.349,352.0,1.0,1.0
69,124.093,353.0,3.0,1.0
70,129.611,353.6666666666667,3.0,2.0
71,129.704,360.5,2.0,2.0
72,133.486,364.0,4.0,1.0
73,134.788,363.0,3.0,1.0
74,134.912,356.8,5.0,2.0
75,137.764,356.0,2.0,1.0
76,139.531,350.0,1.0,1.0
77,139.717,355.5,4.0,2.0
78,142.414,351.0,3.0,1.0
79,145.514,348.0,1.0,1.0
80,146.878,349.42857142857144,7.0,3.0
81,150.474,352.0,3.0,1.0
82,151.001,353.0,1.0,1.0
83,152.458,361.0,4.0,1.0
84,155.651,363.0,2.0,1.0
85,159.619,358.0,2.0,1.0
86,160.518,358.0,2.0,1.0
87,160.673,356.0,4.0,2.0
88,161.448,358.0,3.0,1.0
89,163.432,355.0,2.0,1.0
90,163.711,360.0,1.0,1.0
91,163.804,355.0,2.0,1.0
92,171.957,364.0,2.0,2.0
93,172.484,363.0,3.0,1.0
94,172.701,363.0,2.0,2.0
95,173.104,363.0,4.0,1.0
96,177.041,355.2,5.0,3.0
97,178.684,351.2,5.0,2.0
98,179.893,350.0,4.0,1.0
99,180.761,352.0,1.0,1.0
100,180.823,355.0,1.0,1.0
101,181.071,352.0,2.0,1.0
102,181.412,352.0,1.0,1.0
103,181.598,353.0,5.0,3.0
104,185.411,347.0,2.0,1.0
105,189.069,345.0,4.0,1.0
106,190.588,348.5,6.0,4.0
107,191.27,348.3333333333333,6.0,2.0
108,192.045,351.0,1.0,1.0
109,192.603,352.0,1.0,1.0
110,193.099,354.0,1.0,1.0
111,195.3,353.0,1.0,1.0
112,197.78,362.0,2.0,2.0
113,202.43,356.4,5.0,2.0
114,203.205,363.0,2.0,1.0
115,206.863,358.0,4.0,1.0
116,207.948,358.0,1.0,1.0
117,208.785,359.0,3.0,1.0
118,210.614,358.0,1.0,1.0
119,213.714,359.25,4.0,3.0
120,217.465,363.0,1.0,1.0
121,218.705,363.0,1.0,1.0
122,221.96,357.0,1.0,1.0
123,224.347,357.0,1.0,1.0
124,225.215,355.0,2.0,1.0
125,227.974,363.0,1.0,1.0
126,228.408,358.5,4.0,2.0
127,231.756,355.0,5.0,2.0
128,232.066,355.0,2.0,1.0
129,238.173,357.0,1.0,1.0
130,238.669,357.0,4.0,1.0
131,238.948,358.0,3.0,1.0
132,239.568,356.0,2.0,1.0
133,241.118,355.0,5.0,2.0
134,242.358,355.0,3.0,1.0
135,247.287,359.0,3.0,1.0
136,251.1,359.0,1.0,1.0
137,251.472,360.0,3.0,1.0
138,251.844,360.0,2.0,1.0
139,252.402,357.0,1.0,1.0
140,253.983,357.0,2.0,1.0
141,254.944,357.0,3.0,1.0
142,257.455,358.2857142857143,7.0,2.0
143,260.741,359.0,1.0,1.0
144,261.454,356.75,4.0,3.0
145,262.632,357.0,3.0,1.0
146,264.895,356.0,1.0,1.0
147,267.158,354.8,5.0,4.0
148,271.126,361.0,2.0,2.0
149,273.11,356.0,1.0,1.0
150,276.148,353.0,1.0,1.0
151,277.357,350.0,1.0,1.0
152,279.0,347.0,2.0,1.0
153,279.465,343.0,1.0,1.0
154,280.395,344.0,3.0,1.0
155,281.542,346.0,3.0,1.0
156,282.937,350.0,1.0,1.0
157,283.867,350.0,1.0,1.0
158,284.022,359.25,4.0,3.0
159,286.719,360.5,4.0,2.0
160,288.827,354.6,5.0,2.0
161,289.261,353.0,1.0,1.0
162,293.415,356.0,5.0,2.0
163,294.283,353.0,3.0,1.0
164,296.174,362.0,1.0,1.0
165,299.832,355.0,2.0,1.0
166,300.018,355.0,3.0,2.0
167,300.483,353.0,1.0,1.0
168,300.762,353.0,2.0,1.0
169,302.808,352.0,1.0,1.0
170,303.366,351.0,1.0,1.0
171,308.915,362.0,1.0,1.0
172,311.302,362.0,4.0,1.0
173,311.364,362.0,5.0,1.0
174,312.108,357.0,3.0,1.0
175,312.356,357.0,1.0,1.0
176,316.293,358.0,2.0,1.0
177,317.192,356.8,5.0,2.0
178,320.54,349.5,4.0,2.0
179,320.912,356.0,2.0,1.0
180,321.346,358.0,1.0,1.0
181,325.531,353.0,1.0,1.0
182,326.74,353.0,1.0,1.0
183,326.771,353.0,3.0,1.0
184,329.437,354.0,2.0,1.0
185,331.297,351.0,2.0,1.0
186,332.413,348.0,1.0,1.0
187,333.715,350.0,2.0,2.0
188,334.087,344.0,4.0,1.0
189,337.807,357.0,1.0,1.0
190,337.869,356.0,2.0,1.0
191,338.086,356.0,2.0,1.0
192,339.822,356.0,4.0,1.0
193,341.031,355.0,3.0,1.0
194,341.713,355.0,1.0,1.0
195,342.891,354.0,1.0,1.0
196,345.712,353.0,2.0,1.0
197,350.889,356.0,3.0,1.0
198,350.982,361.0,1.0,1.0
199,352.501,361.0,3.0,1.0
200,355.632,353.6666666666667,3.0,2.0
201,358.019,359.1666666666667,6.0,3.0
202,358.577,357.0,3.0,1.0
203,359.786,353.0,4.0,1.0
204,363.351,345.0,1.0,1.0
205,363.847,346.0,1.0,1.0
206,366.296,346.0,2.0,1.0
207,372.31,347.0,1.0,1.0
208,372.341,347.0,2.0,1.0
209,373.333,347.0,3.0,1.0
210,377.115,344.0,3.0,1.0
211,380.99,344.0,1.0,1.0
212,381.3,349.0,10.0,5.0
213,382.478,350.0,2.0,1.0
214,382.633,351.0,3.0,1.0
215,382.664,351.0,2.0,1.0
216,386.88,347.0,1.0,1.0
217,387.283,349.3333333333333,6.0,3.0
218,387.841,345.0,2.0,1.0
219,389.608,349.0,1.0,1.0
220,392.429,351.0,4.0,2.0
221,393.669,351.5,2.0,2.0
222,395.684,349.0,4.0,1.0
223,400.303,351.0,3.0,2.0
224,403.651,350.0,2.0,1.0
225,404.674,351.0,3.0,1.0
226,405.821,352.0,2.0,1.0
227,406.534,353.4,5.0,2.0
228,408.549,348.0,3.0,1.0
229,409.727,349.6,5.0,2.0
230,409.789,350.0,1.0,1.0
231,411.06,350.4,5.0,2.0
232,412.486,353.0,3.0,2.0
233,413.881,347.0,1.0,1.0
234,416.113,351.0,3.0,1.0
235,418.841,353.0,2.0,1.0
236,420.05,355.0,1.0,1.0
237,420.794,356.0,1.0,1.0
238,421.941,361.0,2.0,1.0
239,423.057,357.0,3.0,1.0
240,423.584,357.0,4.0,1.0
241,425.227,355.0,1.0,1.0
242,430.466,348.0,1.0,1.0
243,431.272,345.0,1.0,1.0
244,431.83,345.0,1.0,1.0
245,432.078,349.25,4.0,2.0
246,432.574,353.0,1.0,1.0
247,440.789,348.0,1.0,1.0
248,441.254,347.0,2.0,1.0
249,442.618,349.25,4.0,2.0
250,443.083,351.2857142857143,7.0,3.0
251,443.269,354.55555555555554,9.0,4.0
252,445.098,345.0,1.0,1.0
253,446.803,353.5,4.0,2.0
254,449.748,352.0,6.0,2.0
255,450.275,356.0,1.0,1.0
256,450.337,356.0,1.0,1.0
257,451.794,357.0,5.0,1.0
258,453.747,361.0,5.0,1.0
259,453.871,358.0,2.0,1.0
260,455.235,358.0,1.0,1.0
261,455.979,358.0,5.0,1.0
262,461.869,359.0,4.0,2.0
263,462.334,357.8,5.0,2.0
264,463.047,355.2,5.0,2.0
265,463.946,358.0,3.0,2.0
266,472.161,362.0,5.0,1.0
267,473.618,364.0,5.0,1.0
268,475.695,364.0,1.0,1.0
269,476.594,362.0,2.0,1.0
270,477.028,362.0,1.0,1.0
271,477.121,362.0,1.0,1.0
272,479.136,362.0,3.0,1.0
273,480.81,362.0,5.0,2.0
274,481.647,360.0,2.0,2.0
275,484.778,363.0,5.0,3.0
276,485.584,363.0,1.0,1.0
277,486.638,359.0,4.0,1.0
278,487.568,359.0,2.0,1.0
279,489.149,357.3333333333333,3.0,2.0
280,490.699,359.0,1.0,1.0
281,492.032,360.0,1.0,1.0
282,493.272,357.0,2.0,1.0
283,493.458,355.8,5.0,3.0
284,494.636,355.0,1.0,1.0
285,495.163,355.0,1.0,1.0
286,496.186,355.0,3.0,1.0
287,496.31,350.0,1.0,1.0
288,497.891,353.8,5.0,3.0
289,498.263,350.0,3.0,1.0
290,502.82,352.0,1.0,1.0
291,504.773,352.0,1.0,1.0
292,505.176,349.0,5.0,1.0
293,506.23,356.0,3.0,1.0
294,508.772,360.0,2.0,1.0
295,508.958,358.0,2.0,1.0
296,509.361,356.0,1.0,1.0
297,514.011,351.0,4.0,1.0
298,514.755,351.0,2.0,2.0
299,515.096,352.8333333333333,6.0,3.0
300,516.863,358.0,1.0,1.0
301,517.018,359.0,2.0,1.0
302,521.482,365.0,1.0,1.0
303,523.838,366.0,2.0,1.0
304,523.9,366.0,3.0,1.0
305,524.768,364.0,3.0,1.0
306,526.628,364.0,2.0,1.0
307,527.31,360.0,2.0,1.0
308,528.736,360.0,1.0,1.0
309,529.356,361.0,3.0,1.0
310,530.348,361.0,2.0,1.0
311,532.084,359.6,5.0,2.0
312,536.269,356.8,5.0,2.0
313,537.602,358.0,3.0,1.0
314,538.067,356.0,2.0,1.0
315,538.563,360.0,1.0,1.0
316,539.028,360.0,1.0,1.0
317,539.431,350.0,1.0,1.0
318,540.237,350.0,1.0,1.0
319,540.454,349.0,1.0,1.0
320,542.159,351.0,1.0,1.0
321,546.592,361.0,7.0,2.0
322,547.615,348.0,1.0,1.0
323,549.413,348.0,2.0,1.0
324,551.366,347.0,2.0,1.0
325,554.9,348.0,1.0,1.0
326,555.024,347.0,3.0,1.0
327,556.047,349.0,1.0,1.0
328,556.357,349.0,1.0,1.0
329,558.155,351.5,4.0,2.0
330,558.372,352.0,1.0,1.0
331,558.527,352.0,1.0,1.0
332,561.596,349.0,2.0,1.0
333,561.968,352.0,1.0,1.0
334,562.34,353.0,1.0,1.0
335,563.704,353.0,1.0,1.0
336,564.262,360.0,1.0,1.0
337,565.161,364.0,3.0,1.0
338,569.408,364.0,3.0,1.0
339,571.485,363.0,1.0,1.0
340,571.609,361.0,4.0,2.0
341,574.492,359.0,1.0,1.0
342,574.802,357.6,5.0,3.0
343,576.29,358.0,2.0,1.0
344,578.026,357.0,2.0,1.0
345,578.925,355.0,2.0,1.0
346,580.01,355.0,3.0,1.0
347,582.552,357.4,5.0,2.0
348,584.102,363.0,1.0,1.0
349,584.784,359.0,5.0,1.0
350,586.055,360.0,1.0,1.0
351,587.543,362.0,1.0,1.0
352,587.977,363.0,1.0,1.0
353,590.023,361.0,2.0,1.0
354,592.162,363.0,3.0,1.0
355,596.068,359.75,4.0,2.0
356,599.044,358.0,1.0,1.0
357,599.819,357.0,2.0,1.0
358,600.439,356.0,1.0,1.0
359,602.051,355.0,1.0,1.0
360,602.857,355.0,4.0,1.0
361,604.655,362.0,2.0,1.0
362,610.204,361.4,5.0,2.0
363,611.568,361.0,1.0,1.0
364,612.715,358.0,1.0,1.0
365,612.746,358.0,3.0,1.0
366,613.273,358.0,2.0,2.0
367,615.443,358.0,3.0,1.0
368,618.605,360.0,2.0,1.0
369,619.473,357.0,2.0,2.0
370,622.015,356.0,5.0,1.0
371,622.294,366.0,1.0,1.0
372,622.821,354.3333333333333,3.0,2.0
373,624.557,353.0,2.0,1.0
374,627.192,364.0,1.0,1.0
375,629.238,360.0,3.0,1.0
376,634.911,360.0,1.0,1.0
377,637.763,358.0,1.0,1.0
378,641.266,359.0,1.0,1.0
379,641.731,361.0,1.0,1.0
380,641.824,360.0,2.0,1.0
381,641.917,358.0,1.0,1.0
382,642.878,356.2,5.0,3.0
383,647.311,365.0,3.0,1.0
384,647.559,358.75,4.0,2.0
385,649.543,352.0,2.0,1.0
386,651.155,349.0,1.0,1.0
387,652.705,351.0,1.0,1.0
388,655.557,349.5,4.0,3.0
389,657.138,349.5,2.0,2.0
390,658.037,350.0,3.0,1.0
391,658.874,350.0,1.0,1.0
392,659.432,350.0,1.0,1.0
393,659.99,349.0,4.0,1.0
394,661.23,350.0,3.0,1.0
395,661.54,350.0,2.0,1.0
396,661.881,353.0,2.0,1.0
397,664.175,349.0,1.0,1.0
398,664.33,349.0,1.0,1.0
399,666.531,349.0,1.0,1.0
400,670.592,349.8181818181818,11.0,5.0
401,671.119,353.5,2.0,2.0
402,671.894,350.0,1.0,1.0
403,674.529,354.0,3.0,1.0
404,675.459,355.0,3.0,2.0
405,676.141,354.6666666666667,3.0,2.0
406,676.358,354.0,1.0,1.0
407,678.063,352.5,2.0,2.0
408,679.985,358.0,3.0,1.0
409,682.527,354.8,5.0,2.0
410,685.968,353.3333333333333,3.0,2.0
411,686.433,351.0,1.0,1.0
412,686.619,352.0,1.0,1.0
413,688.758,354.0,3.0,1.0
414,692.292,349.0,2.0,1.0
