,Time,Weighted_Price,Total_Size,Order_Number
0,5.115,164.0,2.0,1.0
1,5.89,164.5,4.0,2.0
2,6.014,166.0,2.0,1.0
3,8.68,166.0,1.0,1.0
4,9.331,168.0,2.0,1.0
5,10.137,169.0,3.0,1.0
6,12.028,168.0,2.0,1.0
7,12.586,169.0,1.0,1.0
8,13.919,169.0,2.0,2.0
9,17.918,175.0,4.0,1.0
10,23.746,178.0,2.0,1.0
11,26.257,177.0,1.0,1.0
12,27.28,175.0,2.0,1.0
13,27.466,175.0,1.0,1.0
14,29.512,175.0,2.0,1.0
15,29.946,173.0,4.0,1.0
16,31.868,173.0,1.0,1.0
17,35.774,172.6,5.0,3.0
18,37.851,171.0,2.0,2.0
19,39.308,170.0,5.0,1.0
20,39.866,170.0,1.0,1.0
21,40.703,169.0,2.0,1.0
22,41.075,170.0,1.0,1.0
23,44.485,175.0,1.0,1.0
24,45.384,175.0,1.0,1.0
25,46.717,174.2,5.0,2.0
26,48.794,173.0,3.0,1.0
27,49.414,173.0,1.0,1.0
28,50.313,172.5,2.0,2.0
29,53.599,169.0,3.0,2.0
30,53.878,168.0,1.0,1.0
31,54.653,166.5,4.0,2.0
32,56.606,169.0,1.0,1.0
33,58.032,169.42857142857142,7.0,3.0
34,61.101,168.0,3.0,1.0
35,61.845,169.0,1.0,1.0
36,62.961,167.0,1.0,1.0
37,64.356,167.0,1.0,1.0
38,68.758,164.0,3.0,1.0
39,71.238,166.0,3.0,2.0
40,71.796,167.0,2.0,1.0
41,72.788,167.0,6.0,2.0
42,73.749,171.0,1.0,1.0
43,74.4,172.0,5.0,1.0
44,75.423,173.0,3.0,1.0
45,75.826,170.33333333333334,3.0,3.0
46,77.438,169.0,1.0,1.0
47,77.655,169.0,1.0,1.0
48,78.058,170.33333333333334,6.0,3.0
49,78.182,173.0,1.0,1.0
50,78.337,173.0,5.0,1.0
51,82.863,175.66666666666666,3.0,2.0
52,82.894,173.4,5.0,3.0
53,83.328,169.0,4.0,1.0
54,85.374,173.0,3.0,1.0
55,89.001,173.0,3.0,1.0
56,94.24,178.0,1.0,1.0
57,94.891,175.0,5.0,1.0
58,94.984,175.0,4.0,1.0
59,96.069,177.0,3.0,1.0
60,97.061,175.0,2.0,1.0
61,97.557,175.0,3.0,1.0
62,100.502,175.0,2.0,1.0
63,101.959,173.0,3.0,2.0
64,102.114,173.0,3.0,1.0
65,102.207,173.0,1.0,1.0
66,102.61,170.5,4.0,2.0
67,103.912,169.0,3.0,1.0
68,105.276,170.0,4.0,1.0
69,106.516,171.0,2.0,1.0
70,107.694,174.0,2.0,1.0
71,111.259,178.0,4.0,2.0
72,115.196,177.0,1.0,1.0
73,115.351,177.0,1.0,1.0
74,115.506,173.0,1.0,1.0
75,118.544,173.0,4.0,2.0
76,118.885,173.0,2.0,1.0
77,120.435,173.0,4.0,2.0
78,120.621,173.0,1.0,1.0
79,123.101,171.6,5.0,2.0
80,123.411,175.0,2.0,1.0
81,123.628,175.0,2.0,1.0
82,123.69,169.0,5.0,2.0
83,124.465,169.0,3.0,2.0
84,124.93,169.0,3.0,1.0
85,125.178,173.0,2.0,1.0
86,125.581,173.0,1.0,1.0
87,125.829,169.0,1.0,1.0
88,129.301,173.0,1.0,1.0
89,134.199,171.0,1.0,1.0
90,135.253,170.0,1.0,1.0
91,135.78,169.0,1.0,1.0
92,136.896,167.0,3.0,1.0
93,136.927,168.0,1.0,1.0
94,137.516,167.0,2.0,1.0
95,137.64,173.0,3.0,1.0
96,140.895,170.0,1.0,1.0
97,142.321,168.0,1.0,1.0
98,144.522,167.0,1.0,1.0
99,144.615,169.85714285714286,7.0,4.0
100,148.087,169.0,1.0,1.0
101,148.924,168.0,2.0,1.0
102,153.047,165.8,5.0,2.0
103,154.318,167.0,2.0,2.0
104,156.116,167.0,4.0,1.0
105,157.232,168.0,4.0,1.0
106,158.534,169.0,2.0,1.0
107,158.627,163.0,3.0,1.0
108,159.495,170.0,1.0,1.0
109,160.828,166.0,1.0,1.0
110,161.479,164.0,2.0,1.0
111,163.029,166.0,3.0,2.0
112,163.99,168.16666666666666,6.0,4.0
113,165.695,170.0,3.0,2.0
114,166.129,174.0,1.0,1.0
115,169.973,176.0,3.0,1.0
116,170.19,176.75,4.0,2.0
117,172.298,178.0,5.0,1.0
118,172.515,176.0,3.0,1.0
119,178.312,178.0,1.0,1.0
120,178.343,176.0,5.0,2.0
121,179.025,178.0,1.0,1.0
122,181.412,174.0,3.0,1.0
123,182.28,174.0,4.0,1.0
124,183.799,174.0,1.0,1.0
125,185.504,174.0,3.0,1.0
126,186.713,174.0,2.0,1.0
127,187.643,175.0,1.0,1.0
128,187.86,172.0,3.0,1.0
129,188.945,172.0,4.0,2.0
130,190.185,171.0,3.0,1.0
131,192.014,170.0,3.0,1.0
132,193.13,170.0,4.0,1.0
133,193.161,168.5,4.0,2.0
134,193.254,171.0,4.0,2.0
135,197.067,174.0,1.0,1.0
136,197.842,176.0,2.0,1.0
137,198.307,174.8,5.0,2.0
138,198.524,171.4,5.0,3.0
139,201.407,175.0,2.0,2.0
140,203.143,174.0,3.0,1.0
141,206.212,178.0,5.0,1.0
142,206.491,175.5,4.0,2.0
143,207.483,171.66666666666666,3.0,3.0
144,208.196,170.0,2.0,1.0
145,209.777,173.0,1.0,1.0
146,211.823,173.0,3.0,1.0
147,212.102,170.0,2.0,1.0
148,213.404,171.25,4.0,2.0
149,214.117,170.0,1.0,1.0
150,214.272,170.0,3.0,1.0
151,214.52,170.0,4.0,1.0
152,219.139,175.0,5.0,2.0
153,223.913,180.0,2.0,1.0
154,224.347,179.25,4.0,2.0
155,225.277,177.0,1.0,1.0
156,225.804,175.0,4.0,1.0
157,227.044,171.25,4.0,3.0
158,227.85,174.0,2.0,1.0
159,228.377,174.0,4.0,1.0
160,228.625,175.0,1.0,1.0
161,229.803,173.0,3.0,1.0
162,232.748,176.4,5.0,2.0
163,236.468,176.0,2.0,1.0
164,238.297,174.66666666666666,3.0,2.0
165,239.289,176.0,5.0,1.0
