,Time,Weighted_Price,Total_Size,Order_Number
0,4.743,174.0,4.0,1.0
1,6.975,174.0,1.0,1.0
2,9.796,175.5,4.0,2.0
3,14.167,168.0,1.0,1.0
4,15.314,166.0,1.0,1.0
5,15.841,167.0,3.0,1.0
6,16.027,169.0,1.0,1.0
7,16.678,169.0,2.0,1.0
8,16.864,169.33333333333334,3.0,2.0
9,18.693,170.0,3.0,1.0
10,19.716,172.0,1.0,1.0
11,20.181,172.0,2.0,1.0
12,20.77,172.0,1.0,1.0
13,22.754,175.0,1.0,1.0
14,23.281,176.0,1.0,1.0
15,28.272,173.0,5.0,1.0
16,29.357,173.0,3.0,1.0
17,30.628,176.0,1.0,1.0
18,32.178,174.0,1.0,1.0
19,32.333,174.0,5.0,1.0
20,33.79,174.0,2.0,1.0
21,34.689,176.0,3.0,1.0
22,36.611,172.4,5.0,2.0
23,41.819,175.0,4.0,1.0
24,42.16,174.0,1.0,1.0
25,42.439,176.0,1.0,1.0
26,43.059,170.5,4.0,2.0
27,46.531,175.0,1.0,1.0
28,46.996,174.0,4.0,1.0
29,48.515,179.0,1.0,1.0
30,48.856,182.0,1.0,1.0
31,49.104,177.5,2.0,2.0
32,53.909,173.0,2.0,1.0
33,54.436,173.0,3.0,1.0
34,56.141,176.0,2.0,1.0
35,56.296,172.0,4.0,1.0
36,57.443,172.0,1.0,1.0
37,58.652,173.0,5.0,1.0
38,61.442,175.0,1.0,1.0
39,64.046,178.0,5.0,1.0
40,66.216,179.0,3.0,1.0
41,69.254,180.0,1.0,1.0
42,70.525,180.0,2.0,1.0
43,70.556,179.66666666666666,3.0,2.0
44,71.92,181.0,3.0,1.0
45,72.013,175.0,5.0,1.0
46,73.966,180.0,2.0,1.0
47,77.934,181.0,5.0,1.0
48,79.236,174.25,4.0,3.0
49,82.212,176.0,4.0,1.0
50,83.049,176.0,2.0,1.0
51,83.638,179.0,1.0,1.0
52,83.886,177.2,5.0,3.0
53,88.505,173.0,1.0,1.0
54,88.722,172.0,3.0,1.0
55,90.117,172.0,2.0,1.0
56,91.884,179.0,2.0,1.0
57,93.527,176.0,2.0,1.0
58,94.643,176.0,2.0,1.0
59,97.805,178.0,3.0,1.0
60,98.611,176.5,4.0,2.0
61,101.928,175.0,4.0,1.0
62,106.981,178.0,3.0,1.0
63,107.136,178.0,1.0,1.0
64,108.686,176.0,2.0,1.0
65,111.197,177.0,1.0,1.0
66,111.321,178.0,1.0,1.0
67,113.677,178.0,1.0,1.0
68,116.622,175.0,2.0,1.0
69,116.901,176.0,2.0,1.0
70,117.8,173.33333333333334,3.0,2.0
71,118.544,175.0,1.0,1.0
72,120.652,172.0,1.0,1.0
73,121.644,172.0,2.0,1.0
74,122.419,169.0,4.0,1.0
75,122.76,170.0,3.0,1.0
76,124.465,169.0,3.0,2.0
77,125.085,172.0,1.0,1.0
78,130.417,168.0,2.0,1.0
79,134.912,168.0,3.0,2.0
80,136.059,168.0,1.0,1.0
81,136.834,167.0,1.0,1.0
82,137.423,168.0,2.0,1.0
83,137.764,166.0,1.0,1.0
84,138.074,166.5,4.0,2.0
